class,accuracy,aimTime,alpha1,alpha2,alpha3,backwardSpeed,base_capture_points,base_defense_points,base_xp,battles,caliber,damage,damage_blocked,damage_received,direct_hits,distance_traveled,dpm1,dpm2,dpm3,forwardSpeed,frags,gunDepression,gunElevation,hit_rate,hp,intraClipReload,isPrem_False,isPrem_True,life_time,maxAmmo,pen1,pen2,pen3,pen_rate,penetrations,player_winrate,player_wn8,potentialDamage,potential_damage_received,power,reload,shell1_ARMOR_PIERCING,shell1_ARMOR_PIERCING_CR,shell1_HIGH_EXPLOSIVE,shell1_HOLLOW_CHARGE,shell2_ARMOR_PIERCING,shell2_ARMOR_PIERCING_CR,shell2_HIGH_EXPLOSIVE,shell2_HOLLOW_CHARGE,shell3_ARMOR_PIERCING,shell3_HIGH_EXPLOSIVE,shell3_HOLLOW_CHARGE,shellVelocity1,shellVelocity2,shellVelocity3,shots_fired,sniper_damage,specificPower,spots,spotting_assist,survival,tank_id,tier,tracking_assist,traverseSpeed,turretTraverseDispersion,turretTraverseSpeed,vehicleMovementDispersion,vehicleRotationDispersion,viewRange,weight,winrate,winrate_differential,wn8,wnx
LT,0.19767441860465115,0.22033898305084743,0.03677758318739054,0.02522935779816514,0.025374855824682813,0.23728813559322035,0.15346534653465344,0.10869565217391305,0.21010638297872342,0.007624367346300247,0.13822819717338847,0.04805013927576602,0.008364312267657992,0.13581890812250333,0.06428409176951617,0.34305386796273796,0.32329727024217453,0.32329727024217453,0.26142299061558494,0.6323529411764706,0.1533742331288344,0.3333333333333333,0.2222222222222222,0.560629435359457,0.12974683544303797,0.03703703703703704,1,0,0.24154589371980675,0.04017857142857143,0.18983050847457628,0.16145833333333334,0.03591160220994475,0.7482066869300911,0.07272727272727272,0.34559193954659945,0.09245439469320066,0.03230148048452221,0.0669151004536617,0.13522012578616352,0.08510638297872342,1,0,0,0,0,1,0,0,0,1,0,0.39303135888501745,0.4349355216881594,0.5838206627680312,0.05757368060315284,0.01990391214824983,0.34155172806424927,0.30890052356020936,0.06753812636165578,0.18637502848029167,0.02799629801018047,0.3,0.08527131782945736,0.7037037037037037,0.2285714285714286,0.5333333333333333,0.3076923076923077,0.3076923076923077,0.4857142857142857,0.060255629945222156,0.3543237250554325,0.4806776071995765,0.3473242392444911,0.10012594458438287
SPG,0.6162790697674418,0.6949152542372881,0.7810858143607706,0.6846330275229358,0.33679354094579006,0.06779661016949153,0.009900990099009901,0.09420289855072465,0.48936170212765956,0.0389316993364495,0.8405722164770769,0.233983286908078,0.004337050805452293,0.05825565912117177,0.010827591428787765,0.049412717699473474,0.25676664228237017,0.41477688368690563,0.0528804339991639,0.3382352941176471,0.1533742331288344,0.009523809523809521,0.5,0.17170626349892004,0.10126582278481013,,1,0,0.9758454106280193,0.010416666666666666,0.11186440677966102,0.07552083333333333,0.6850828729281768,0.02796352583586627,0.00035885167464114827,0.42921914357682595,0.18034825870646767,0.4360699865410498,0.03694102397926118,0.42348008385744235,0.6631205673758865,0,0,1,0,0,0,1,0,1,0,0,0.11149825783972125,0.09437280187573271,0.2729044834307992,0.0181631254283756,0.7536032944406315,0.2215863356558521,0.0,0.006535947712418301,0.7104123946229209,0.12216566404442387,0.8,0.23255813953488372,0.07407407407407407,0.6,0.1,0.34615384615384615,0.34615384615384615,0.14285714285714285,0.26222357476161495,0.4580931263858093,0.5166754896770778,0.19972018188177684,0.05966624685138539
MT,0.18604651162790695,0.23728813559322032,0.11120840630472854,0.07396788990825688,0.09169550173010381,0.23728813559322035,0.13696369636963696,0.06521739130434782,0.300531914893617,0.0063064880402000124,0.2890382626680455,0.08356545961002786,0.02168525402726146,0.1681091877496671,0.06594987506625274,0.3616848926690968,0.3373518653986832,0.3373518653986832,0.3054776057008039,0.6470588235294118,0.19631901840490798,0.42857142857142855,0.1111111111111111,0.5732798518975624,0.16455696202531644,,1,0,0.3188405797101449,0.027157738095238096,0.39322033898305087,0.3619791666666667,0.07734806629834254,0.8295440729483283,0.08217703349282296,0.36775818639798474,0.11194029850746269,0.1059892328398385,0.08846403110823071,0.240041928721174,0.06028368794326241,1,0,0,0,0,0,0,1,0,1,0,0.45993031358885017,0.3698710433763189,0.6773879142300195,0.05821624400274161,0.04461221688400824,0.3027106504291854,0.2643979057591623,0.07952069716775599,0.18113465481886537,0.03169828782970847,0.4,0.12403100775193798,0.5185185185185185,0.20000000000000004,0.7166666666666667,0.36538461538461536,0.36538461538461536,0.6,0.11959829580036518,0.4128603104212862,0.5272631021704605,0.29240993354319694,0.12751889168765743
MT,0.20930232558139536,0.2711864406779661,0.2031523642732049,0.1341743119266055,0.17531718569780855,0.2033898305084746,0.16666666666666666,0.07246376811594205,0.35904255319148937,0.01039680468198731,0.35367114788004134,0.11443825441039926,0.046158612143742256,0.23901464713715045,0.028394033467100784,0.3442689347914135,0.362726451224235,0.362726451224235,0.33956511330067923,0.5588235294117647,0.18404907975460122,0.3333333333333333,0.16666666666666666,0.6730947238506633,0.2468354430379747,,1,0,0.46859903381642515,0.023065476190476192,0.46440677966101696,0.421875,0.09668508287292818,0.825288753799392,0.038755980861244016,0.3385390428211586,0.09535655058043117,0.19057873485868101,0.13674659753726506,0.29245283018867924,0.1223404255319149,1,0,0,0,0,1,0,0,0,1,0,0.47735191637630664,0.5240328253223916,0.7017543859649122,0.01717786154900617,0.08991077556623199,0.20651758246986962,0.1832460732984293,0.09368191721132897,0.27272727272727276,0.035400277649236464,0.5,0.15503875968992248,0.48148148148148145,0.20000000000000004,0.5166666666666667,0.3076923076923077,0.3076923076923077,0.6571428571428571,0.1896429296003246,0.32815964523281593,0.4568554790894653,0.2563833508219657,0.08973551637279598
HT,0.20930232558139536,0.2033898305084745,0.2732049036777583,0.18004587155963303,0.23298731257208766,0.13559322033898305,0.17491749174917492,0.05797101449275363,0.4800531914893617,0.016246983393535096,0.4183040330920372,0.1764159702878366,0.12422552664188352,0.3794940079893475,0.029984099341258428,0.3450789793438639,0.38030192192591605,0.38030192192591605,0.3464514784723711,0.3382352941176471,0.20858895705521474,0.3333333333333333,0.2222222222222222,0.7798518975624806,0.3829113924050633,,1,0,0.5362318840579711,0.010416666666666666,0.5864406779661017,0.4921875,0.11878453038674033,0.7682674772036474,0.03779904306220096,0.3551637279596976,0.11857379767827529,0.12382234185733512,0.24708360337005833,0.3710691823899371,0.16666666666666669,1,0,0,0,0,1,0,0,0,1,0,0.3623693379790941,0.37280187573270807,0.5409356725146199,0.015378684030157642,0.07412491420727522,0.2513201684325877,0.20680628272251309,0.10838779956427015,0.3189792663476874,0.03910226746876446,0.6,0.21705426356589147,0.48148148148148145,0.2285714285714286,0.36666666666666664,0.28846153846153844,0.28846153846153844,0.6,0.2116301481030635,0.40620842572062077,0.5325569084171519,0.2539349422875131,0.11146095717884132
LT,0.27906976744186046,0.28813559322033894,0.04115586690017513,0.02809633027522936,0.031141868512110725,0.1016949152542373,0.4422442244224422,0.2898550724637682,0.19281914893617022,0.0003566820663517567,0.16839021027231987,0.04294336118848654,0.0018587360594795538,0.03462050599201065,0.2293480729915954,0.3155123531794249,0.0,0.0,0.028116005400963907,0.3382352941176471,0.4601226993865031,0.3333333333333333,0.16666666666666666,0.4436902190681888,0.030063291139240507,,1,0,0.41545893719806765,0.03459821428571429,0.08813559322033898,0.08854166666666667,0.03591160220994475,0.886079027355623,0.28732057416267937,0.3521410579345089,0.1546434494195688,0.029273216689098252,0.016850291639662993,0.022536687631027254,0.06382978723404256,1,0,0,0,0,1,0,0,0,1,0,0.1554006968641115,0.18522860492379836,0.25146198830409355,0.26169465387251545,0.00549073438572409,0.28346667655226343,0.32984293193717273,0.011982570806100218,0.34107997265892004,0.016890328551596483,0.0,0.023255813953488372,0.6666666666666666,0.2285714285714286,0.48333333333333334,0.42307692307692313,0.42307692307692313,0.2,0.010651247717589775,0.3565410199556541,0.47644256220222336,0.49982511367611054,0.28148614609571787
HT,0.20930232558139536,0.3220338983050847,0.48336252189141854,0.3176605504587156,0.3944636678200692,0.13559322033898305,0.16006600660066006,0.03985507246376812,0.5731382978723404,0.035423172971864765,0.5260255084453637,0.2941039925719591,0.27447335811648077,0.5978695073235686,0.030438403876732033,0.3552045362494937,0.5016825164594001,0.5016825164594001,0.41815575582261394,0.3382352941176471,0.20858895705521474,0.3333333333333333,0.2222222222222222,0.8520518358531317,0.620253164556962,,1,0,0.6811594202898551,0.006696428571428571,0.7830508474576271,0.6953125,0.16022099447513813,0.6745288753799392,0.03373205741626794,0.3657430730478588,0.14966832504145938,0.17765814266487215,0.4369734283862605,0.31865828092243187,0.25531914893617025,1,0,0,0,0,1,0,0,0,1,0,0.4425087108013937,0.48710433763188743,0.6530214424951267,0.013879369431117205,0.10569663692518874,0.16105876764320334,0.1832460732984293,0.14814814814814814,0.4107997265892003,0.046506247107820455,0.8,0.32558139534883723,0.2222222222222222,0.2285714285714286,0.3333333333333333,0.25,0.25,0.7714285714285715,0.23914587137350377,0.41064301552106425,0.5267337215457913,0.2714235746764603,0.11775818639798488
HT,0.20930232558139536,0.3220338983050847,0.37828371278458844,0.24885321100917432,0.3137254901960784,0.13559322033898305,0.16666666666666666,0.061594202898550734,0.5811170212765957,0.00046865981571426573,0.4915546363322992,0.2574280408542247,0.24814126394052044,0.4437416777629827,0.030665556144468843,0.3552045362494937,0.41922787640252646,0.41922787640252646,0.3626101888611583,0.3382352941176471,0.2208588957055215,0.42857142857142855,0.2222222222222222,0.8228941684665226,0.43037974683544306,,0,1,0.5748792270531401,0.00855654761904762,0.6745762711864407,0.5442708333333334,0.16022099447513813,0.7110030395136778,0.03576555023923445,0.4534005037783375,0.23507462686567165,0.15881561238223418,0.3493195074530136,0.3710691823899371,0.22340425531914893,1,0,0,0,0,1,0,0,0,1,0,0.5170731707317073,0.5656506447831184,0.7573099415204678,0.014778958190541468,0.09951956074124914,0.19196732971928535,0.21989528795811517,0.14923747276688454,0.3538391433128275,0.7535863026376678,0.7,0.29457364341085274,0.4444444444444444,0.17142857142857143,0.36666666666666664,0.34615384615384615,0.34615384615384615,0.7714285714285715,0.25121728545343885,0.5019955654101996,0.5436739015352038,0.31409583770549143,0.1489294710327456
HT,0.20930232558139536,0.3220338983050847,0.37828371278458844,0.24885321100917432,0.3137254901960784,0.13559322033898305,0.1386138613861386,0.03623188405797102,0.550531914893617,0.009538857514077497,0.4915546363322992,0.24001857010213556,0.24752168525402726,0.4374167776298269,0.029075490270311203,0.3458890238963143,0.41922787640252646,0.41922787640252646,0.3626101888611583,0.3382352941176471,0.20245398773006137,0.42857142857142855,0.2222222222222222,0.8198087010182041,0.43037974683544306,,0,1,0.5797101449275363,0.00855654761904762,0.6745762711864407,0.5442708333333334,0.16022099447513813,0.6960486322188449,0.03349282296650718,0.4166246851385388,0.19900497512437812,0.15881561238223418,0.34786130913804275,0.3710691823899371,0.22340425531914893,1,0,0,0,0,1,0,0,0,1,0,0.5170731707317073,0.5656506447831184,0.7573099415204678,0.013579506511309116,0.09196980096087852,0.19196732971928535,0.21465968586387432,0.1437908496732026,0.33264980633401686,0.013188338732068487,0.7,0.2713178294573643,0.4444444444444444,0.17142857142857143,0.36666666666666664,0.34615384615384615,0.34615384615384615,0.7714285714285715,0.25121728545343885,0.4017738359201775,0.46267866596082574,0.28226652675760755,0.12814861460957178
HT,0.18604651162790695,0.2711864406779661,0.3607705779334501,0.23738532110091742,0.3079584775086505,0.1694915254237288,0.1419141914191419,0.03260869565217391,0.4920212765957447,0.02732026542020062,0.4915546363322992,0.2012534818941504,0.1812267657992565,0.4640479360852197,0.030135534186416294,0.34102875658161197,0.4620555385953494,0.4620555385953494,0.41245213742499703,0.4117647058823529,0.14110429447852765,0.3333333333333333,0.2222222222222222,0.8276766430114162,0.4620253164556962,,1,0,0.5458937198067633,0.00818452380952381,0.6745762711864407,0.5442708333333334,0.1408839779005525,0.6583586626139818,0.03277511961722488,0.3541561712846348,0.12064676616915423,0.1437415881561238,0.3263123784834738,0.3972746331236897,0.19680851063829788,1,0,0,0,0,1,0,0,0,1,0,0.47735191637630664,0.5017584994138335,0.5555555555555556,0.01426490747087046,0.08236101578586136,0.1828877825140163,0.20157068062827224,0.11764705882352941,0.2736386420596947,0.04280425728829246,0.7,0.26356589147286824,0.3333333333333333,0.14285714285714288,0.4,0.23076923076923075,0.23076923076923075,0.7142857142857143,0.2766331913166971,0.29490022172949,0.4007411328745367,0.21650926897516615,0.09398614609571788
HT,0.13953488372093023,0.2033898305084745,0.3345008756567426,0.22018348623853212,0.2964244521337947,0.13559322033898305,0.1254125412541254,0.03260869565217391,0.574468085106383,0.0023910542952112223,0.4915546363322992,0.26740947075208915,0.18060718711276333,0.4367509986684421,0.03331566593473158,0.37019036046982584,0.335226900083243,0.335226900083243,0.3254599377421102,0.4117647058823529,0.2269938650306749,0.38095238095238093,0.2222222222222222,0.8682505399568033,0.41455696202531644,,0,1,0.5410628019323671,0.00855654761904762,0.6847457627118644,0.5625,0.16022099447513813,0.7624316109422492,0.04114832535885167,0.4513853904282116,0.27238805970149255,0.13526244952893673,0.3135126377187297,0.449685534591195,0.22872340425531917,1,0,0,0,0,1,0,0,0,1,0,0.5247386759581881,0.5703399765533411,0.7309941520467836,0.015635709389993147,0.13246396705559368,0.23279564178356876,0.2617801047120419,0.14760348583877997,0.3034859876965141,0.7350763535400278,0.7,0.2868217054263566,0.4444444444444444,0.1142857142857143,0.43333333333333335,0.2692307692307693,0.2692307692307693,0.7714285714285715,0.2697555285047677,0.44257206208425715,0.4748544203282159,0.32948583420776495,0.15491183879093198
LT,0.20930232558139536,0.15254237288135591,0.09369527145359019,0.0625,0.08592848904267589,0.288135593220339,0.1122112211221122,0.12681159420289856,0.42686170212765956,0.0058019294754254125,0.2933471216821785,0.0914577530176416,0.01084262701363073,0.20472703062583222,0.040205951389414706,0.5334143377885784,0.4043814730681863,0.4043814730681863,0.4139197351413429,0.7058823529411765,0.23312883435582826,0.19047619047619047,0.2222222222222222,0.7238506633755013,0.2088607594936709,,1,0,0.37681159420289856,0.012276785714285714,0.4033898305084746,0.375,0.07734806629834254,0.9103951367781155,0.057416267942583726,0.4443324937027708,0.23548922056384744,0.0211978465679677,0.09834737524303305,0.2138364779874214,0.039007092198581554,1,0,0,0,0,1,0,0,0,1,0,0.30313588850174217,0.34056271981242675,0.4580896686159844,0.02570253598355038,0.07687028140013727,0.5146097008774565,0.612565445026178,0.25381263616557737,0.24356345408976987,0.07103192966219343,0.5,0.09302325581395349,0.8518518518518519,0.17142857142857143,0.7,0.15384615384615388,0.15384615384615388,0.6571428571428571,0.06802596875634002,0.5095343680709535,0.5622022233986236,0.4309199020636586,0.16136649874055414
