accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	base_capture_points	base_defense_points	base_xp	battles	bigImage	big_image	caliber	class	damage	damage_blocked	damage_received	direct_hits	distance_traveled	dpm1	dpm2	dpm3	forwardSpeed	frags	gunDepression	gunElevation	hit_rate	hp	image	intraClipReload	isPrem	life_time	maxAmmo	name	nation	pen1	pen2	pen3	pen_rate	penetrations	player_winrate	player_wn8	potentialDamage	potential_damage_received	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	shots_fired	sniper_damage	specificPower	spots	spotting_assist	survival	tank_id	tier	tracking_assist	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight	winrate	winrate_differential	wn8	wnx
0.39	2.4	50	50	60	20	0.94	0.3	247	46410	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl07_14TP.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl07_14TP.png	40	LT	350	27	511	9.39	1110	1578.9473684210525	1578.9473684210525	1894.7368421052631	55	0.55	8	20	56	550	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl07_14TP.png	0.4	False	209	120	14TP	Poland	75	98	23	66.1	6.21	47.89	916	6000	528	300	6.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	829	1036	829	16.77	32	20.804438280166437	1.19	127	18.12	1937	4	15	52	0.16	38	0.22	0.22	330	14420	48.02	0.13	1359	972
0.75	5.2	900	1200	600	10	0.07	0.26	457	236528	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R51_Object_212.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R51_Object_212.png	203	SPG	1151	14	278	2.33	385	1384.6153846153848	1846.1538461538462	923.0769230769231	35	0.55	1.2	45	30.79	460	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R51_Object_212.png		False	361	40	212A	USSR	52	65	258	6.86	0.16	49.55	1128	36000	343	850	39	HIGH_EXPLOSIVE	HIGH_EXPLOSIVE	ARMOR_PIERCING	425	455	510	7.57	1101	15.671091445427729	0.01	15	41.12	8449	9	34	18	0.42	12	0.24	0.24	270	54240	50.36	0.81	937	715
0.38	2.5	135	135	175	20	0.84	0.18	315	38407	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl12_25TP_KSUST_II.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl12_25TP_KSUST_II.png	75	MT	503	70	608	9.61	1156	1620	1620	2100	56	0.62	10	10	56.82	660	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl12_25TP_KSUST_II.png		False	225	85	25TP	Poland	135	175	38	72.79	7	48.33	963	11475	661	500	5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	925	925	925	16.92	68	19.142419601837673	1.02	149	17.89	2193	5	20	42	0.14	49	0.25	0.25	350	26120	49.34	1.01	1202	1146
0.4	2.7	240	240	320	18	1.02	0.2	359	63246	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl10_40TP_Habicha.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl10_40TP_Habicha.png	90	MT	636	149	821	4.65	1113	1694.1176470588234	1694.1176470588234	2258.823529411765	50	0.6	8	15	63.29	920	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl10_40TP_Habicha.png		False	256	74	40TP	Poland	156	198	45	72.44	3.37	47.75	923	17760	959	600	8.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	950	1188	950	7.34	134	15.026296018031555	0.71	175	21.91	2449	6	24	40	0.14	37	0.22	0.22	360	39930	47.43	-0.32	1099	906
0.4	2.3	320	320	420	14	1.07	0.16	450	98772	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl11_45TP_Habicha.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl11_45TP_Habicha.png	105	HT	903	401	1243	4.86	1115	1745.4545454545453	1745.4545454545453	2290.9090909090905	35	0.64	8	20	70.21	1350	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl11_45TP_Habicha.png		False	270	40	45TP	Poland	192	225	53	67.75	3.29	48.08	979	12800	1640	750	11	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	785	930	785	6.92	111	16.943409013893596	0.8	202	23.94	2705	7	32	40	0.16	28	0.21	0.21	350	44265	49.19	1.11	1092	1044
0.46	2.8	55	55	70	12	2.69	0.8	234	2276	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl14_4TP.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl14_4TP.png	47	LT	328	6	207	31.19	1042	634.6153846153846	634.6153846153846	807.6923076923077	35	1.05	8	15	48.42	235	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl14_4TP.png		False	245	105	4TP	Poland	45	70	23	77.44	24.15	48.02	1066	5775	219	85	5.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	488	610	488	64.42	11	18.31896551724138	1.27	25	24.91	1169	1	7	50	0.16	35	0.28	0.28	280	4640	48.07	0.05	1795	2124
0.4	3	560	560	700	14	0.98	0.11	520	215222	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl05_50TP_Tyszkiewicza.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl05_50TP_Tyszkiewicza.png	130	HT	1410	886	1899	4.92	1140	2100	2100	2625	35	0.64	8	20	74.89	2100	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl05_50TP_Tyszkiewicza.png		False	300	30	50TP	Poland	250	303	68	60.04	2.95	48.29	1054	16800	2812	650	16	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	900	1125	900	6.57	157	13.081102837593077	0.71	275	27.97	3217	9	46	26	0.16	26	0.19	0.19	380	49690	49.29	1	1142	1084
0.4	3	440	440	560	14	1.02	0.17	526	2956	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl08_50TP_Prototyp_Resilient.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl08_50TP_Prototyp_Resilient.png	122	HT	1252	801	1436	4.95	1140	1859.154929577465	1859.154929577465	2366.1971830985917	35	0.66	10	20	73	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_Prototyp_Resilient.png		True	278	35	50TP R.	Poland	218	245	68	63.04	3.12	50.03	1260	15400	2271	750	14.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1007	1259	1007	6.78	148	14.403687343960053	0.85	277	25.47	52113	8	42	38	0.12	28	0.24	0.24	380	52070	51.35	1.32	1264	1282
0.4	3	440	440	560	14	0.85	0.1	503	58036	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl08_50TP_prototyp.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl08_50TP_prototyp.png	122	HT	1177	799	1417	4.74	1117	1859.154929577465	1859.154929577465	2366.1971830985917	35	0.63	10	20	72.8	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_prototyp.png		True	279	35	50TP pr.	Poland	218	245	68	61.81	2.93	49.3	1173	15400	2262	750	14.2	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1007	1259	1007	6.5	137	14.403687343960053	0.83	267	24.54	913	8	39	38	0.12	28	0.24	0.24	380	52070	49.09	-0.21	1173	1150
0.38	2.7	420	420	550	16	0.87	0.09	459	166016	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl13_53TP_Markowskiego.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl13_53TP_Markowskiego.png	122	HT	1010	585	1497	4.88	1105	1984.2519685039372	1984.2519685039372	2598.425196850394	40	0.53	8	20	73.31	1600	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl13_53TP_Markowskiego.png		False	272	34	53TP	Poland	218	245	61	58.71	2.87	48.06	984	14280	2129	800	12.7	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	950	1150	800	6.66	123	14.015171423065468	0.78	219	21.95	2961	8	38	32	0.1	30	0.18	0.18	370	57081	46.68	-1.38	985	933
0.34	2.3	390	390	530	14	0.77	0.09	521	14630	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl24_56TP.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl24_56TP.png	122	HT	1295	583	1415	5.3	1177	1613.793103448276	1613.793103448276	2193.1034482758623	40	0.67	9	20	75.94	1450	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl24_56TP.png		True	271	35	56TP	Poland	221	252	68	67.27	3.57	49.99	1350	13650	2050	900	14.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1018	1267	980	6.98	196	16.150740242261104	1.01	274	23.26	50833	8	41	38	0.08	32	0.2	0.2	380	55725	50.01	0.02	1308	1320
0.4	2	115	115	165	23	0.69	0.35	410	35343	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch15_59_16.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch15_59_16.png	76	LT	537	35	718	6.21	1580	1815.7894736842106	1815.7894736842106	2605.263157894737	60	0.68	5	20	66.58	800	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch15_59_16.png		False	237	45	59-16	China	138	180	38	79.44	4.93	49.85	1261	5175	722	450	3.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	700	875	700	9.33	115	28.20962888665998	2.35	469	20.63	4913	6	16	60	0.12	48	0.14	0.14	360	15952	51.52	1.67	1598	1361
0.36	1.7	280	280	370	20	0.3	0.18	470	1999	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch26_59_Patton.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch26_59_Patton.png	90	MT	923	271	1254	5.08	1340	2240	2240	2960	50	0.59	9	19	65.69	1400	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch26_59_Patton.png		True	266	54	59-Patton	China	212	250	45	68.73	3.49	49.57	1165	15120	1572	620	7.5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	914	1219	732	7.73	288	17.18165442704725	1.04	390	21.36	63793	8	38	46	0.06	44	0.14	0.14	400	36085	47.37	-2.2	1138	992
0.38	1.7	200	200	320	18	0.74	0.31	269	15967	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch33_60G_FT.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/china-Ch33_60G_FT.png	85	TD	541	6	438	4.32	945	2105.2631578947367	2105.2631578947367	3368.4210526315787	45	0.71	8	25	54.4	520	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch33_60G_FT.png		False	270	60	60G FT	China	145	220	43	76.19	3.29	48.55	1060	12000	440	450	5.7	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	793	793	793	7.93	279	17.475728155339805	0.36	79	24.91	7217	5	26	42	0.08	44	0.22	0.22	340	25750	48.8	0.25	1082	1087
0.4	3	750	750	950	14	0.74	0.09	540	678414	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl15_60TP_Lewandowskiego.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl15_60TP_Lewandowskiego.png	152.4	HT	1880	1252	2337	4.73	1173	2195.121951219512	2195.121951219512	2780.487804878049	35	0.68	8	20	77.7	2500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl15_60TP_Lewandowskiego.png		False	304	30	60TP	Poland	250	317	90	58.02	2.74	49.61	1235	22500	3558	780	20.5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	900	900	900	6.09	210	13.036937990974428	0.72	340	29	3473	10	53	24	0.1	24	0.22	0.22	390	59830	48.77	-0.84	1233	1180
0.44	3.5	390	390	530	15	0.69	0.13	598	248508	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R165_Object_703_II.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R165_Object_703_II.png	122	HT	1466	1004	1460	6.22	1197	1872	1872	2544	38	0.81	5	18	77.43	1500	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png		True	275	40	703 II (122)	USSR	221	270	61	65.49	4.07	50.81	1573	15600	2503	720	12.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1150	820	790	8.03	149	12.05525324403516	1.05	259	24.74	44289	8	46	26	0.06	20	0.12	0.12	350	59725	51.81	1	1561	1534
0.4	2.3	55	55	70	18	2.89	0.79	229	2049	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl09_7TP.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl09_7TP.png	40	LT	417	21	319	10.22	940	1178.5714285714287	1178.5714285714287	1500.0000000000002	40	1.04	12	20	68.41	380	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl09_7TP.png		False	215	120	7TP	Poland	55	71	23	80.15	8.19	48.22	990	6600	336	150	2.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	732	915	732	14.94	43	15.212981744421906	0.87	22	30.36	1425	2	8	45	0.14	35	0.24	0.24	300	9860	48.8	0.58	1717	2269
0.37	1.7	65	65	80	23	0.6	0.31	291	37806	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R12_A-20.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R12_A-20.png	45	LT	395	17	580	8.09	1438	2052.631578947369	2052.631578947369	2526.315789473684	72	0.58	7	25	67.09	620	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R12_A-20.png		False	198	145	A-20	USSR	105	147	23	76.04	6.15	48.87	1121	9425	563	550	1.9	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	870	1088	870	12.05	79	31.47893772893773	2.48	307	14.23	2049	5	10	46	0.08	50	0.12	0.12	360	17472	48.97	0.1	1453	1001
0.44	2.28571428571429	110	110	164	20	0.73	0.49	445	556	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R68_A-32.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R68_A-32.png	76	MT	595	67	528	6.81	1469	1609.7560975609756	1609.7560975609756	2400	70	1.07	7	22	66.57	550	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R68_A-32.png		True	201	110	A-32	USSR	66	98	38	77.92	5.31	51.52	1393	12100	571	540	4.1	ARMOR_PIERCING	ARMOR_PIERCING	HIGH_EXPLOSIVE	558	558	558	10.23	84	27.99232802861438	2.58	188	20.68	52993	4	25	40	0.12	40.25	0.22	0.22	320	19291	51.26	-0.26	1474	2443
0.34	1.9	85	85	95	20	0.95	0.36	396	36336	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R57_A43.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R57_A43.png	57	MT	669	134	813	9.54	1392	2217.3913043478265	2217.3913043478265	2478.2608695652175	55	0.76	5	25	64.39	900	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R57_A43.png		False	249	150	A-43	USSR	145	189	29	75.53	7.2	48.38	1051	12750	933	640	2.3	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	990	1238	990	14.81	167	23.831688698566374	1.17	248	21.9	12289	6	17	55	0.08	48	0.16	0.16	360	26855	50.16	1.78	1271	1191
0.4	2.4	300	300	360	20	0.94	0.27	456	31783	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R59_A44.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/ussr-R59_A44.png	107	MT	946	298	1051	5.61	1371	1714.2857142857142	1714.2857142857142	2057.1428571428573	59	0.82	4	20	66.66	1200	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R59_A44.png		False	274	60	A-44	USSR	167	219	54	72.73	4.08	48.42	1043	18000	1326	640	10.5	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	830	1038	830	8.42	205	16.6883963494133	1.06	272	25.68	12545	7	30	55	0.12	40	0.16	0.16	370	38350	49.62	1.2	1440	1392
0.36	2.5	300	300	400	23	0.42	0.27	571	54719	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F117_Alt_Proto_AMX_30.png	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/france-F117_Alt_Proto_AMX_30.png	100	MT	1364	390	1118	6.28	1585	2000	2000	2666.666666666667	65	0.81	11	15	67.92	1250	http://api.worldoftanks.eu/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F117_Alt_Proto_AMX_30.png		True	276	50	A.P. AMX 30	France	232	263	50	76.65	4.81	51.24	1561	15000	1521	680	9	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	9.25	388	24.526600541027953	1.35	401	24.48	32065	8	48	40	0.12	42	0.16	0.16	380	27725	52.63	1.39	1691	1528
