accuracy	aimTime	alpha1	alpha2	alpha3	backwardSpeed	bigImage	caliber	class	dpm1	dpm2	dpm3	forwardSpeed	gunDepression	gunElevation	hp	image	intraClipReload	isPrem	maxAmmo	name	nation	pen1	pen2	pen3	potentialDamage	power	reload	shell1	shell2	shell3	shellVelocity1	shellVelocity2	shellVelocity3	specificPower	tank_id	tier	traverseSpeed	turretTraverseDispersion	turretTraverseSpeed	vehicleMovementDispersion	vehicleRotationDispersion	viewRange	weight
0.41	2.9	390	390	530	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R116_ISU122C_Berlin.png	122	TD	3162.1621621621616	3162.1621621621616	4297.297297297297	43	6	18	870	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R116_ISU122C_Berlin.png		True	32	ISU-122S	USSR	175	217	64	12480	600	7.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	800	1000	800	13.175230566534914	59649	7	27	0.08	26	0.2	0.2	350	45540
0.33	2.7	420	420	510	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It21_Lion.png	105	MT	3150	3150	3825	60	9	20	1850	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It21_Lion.png	4.50112528132033	True	44	Lion	Italy	258	323	105	18480	830	8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1080	1400	1000	19.437939110070257	50593	10	45	0.12	52	0.2	0.2	400	42700
0.35	2.7	400	400	515	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A174_T57_58_Rush_Ep1.png	120	HT	3096.7741935483873	3096.7741935483873	3987.0967741935483	35.4	8	12	2250	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A174_T57_58_Rush_Ep1.png	2	True	44	Stinger	USA	258	340	60	17600	870	25	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1067	1067	1067	16.07212133527923	65569	10	30	0.18	36	0.22	0.22	400	54131
0.35	2.7	400	400	515	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A67_T57_58.png	120	HT	3096.7741935483873	3096.7741935483873	3987.0967741935483	35.4	8	12	2250	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A67_T57_58.png	2	False	44	T57 Heavy	USA	258	340	60	17600	870	25	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1067	1067	1067	16.07212133527923	14881	10	30	0.18	36	0.22	0.22	400	54131
0.4	2	16	13	28	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz34_Vz_71_Tesak.png	57	LT	3049.131513647643	2477.4193548387098	5335.980148883375	65	12	30	1650	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz34_Vz_71_Tesak.png	0.05	False	1024	Tesák	Czech	192	247	50	16384	650	17	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	800	1000	720	38.92215568862275	6769	10	45	0.05	60	0.08	0.08	390	16700
0.37	2	360	360	440	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/japan-J16_ST_B1.png	105	MT	3042.253521126761	3042.253521126761	3718.30985915493	50	8	15	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/japan-J16_ST_B1.png		False	50	STB-1	Japan	258	330	53	18000	950	7.1	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1185	950	950	25.606469002695416	3681	10	57	0.08	50	0.09	0.09	400	37100
0.38	2	400	400	515	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A95_T95_E6.png	120	MT	3000	3000	3862.5	56.3	9	20	2150	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A95_T95_E6.png		True	36	T95E6	USA	258	340	60	14400	750	8	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1067	1067	1067	18.46653863199882	55841	10	46	0.1	36	0.12	0.12	410	40614
0.34	2.3	400	400	515	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F64_AMX_50Fosh_B.png	120	TD	3000	3000	3862.5	50	6	18	1850	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F64_AMX_50Fosh_B.png	2	False	72	Foch B	France	257	325	65	28800	1150	38	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1067	1334	1067	20.5798138869005	17729	10	30	0.1	26	0.13	0.13	380	55880
0.4	2.7	800	800	800	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl27_SDP_Wz_66T.png	100	TD	3000	3000	3000	45	7	15	1300	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl27_SDP_Wz_66T.png		True	40	Grom	Poland	272	296	80	32000	810	16	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1400	1600	1000	15.976331360946746	51857	8	32	0.08	26	0.2	0.2	350	50700
0.36	2	390	390	480	23	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F72_AMX_30.png	105	MT	3000	3000	3692.3076923076924	65	8	20	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F72_AMX_30.png		False	50	AMX 30 B	France	248	300	53	19500	720	7.8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1100	800	700	20.168067226890756	15425	10	48	0.04	38	0.12	0.12	410	35700
0.4	3	390	390	480	45	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/sweden-S10_Strv_103_0_Series.png	105	TD	2962.025316455696	2962.025316455696	3645.5696202531644	50	1	1	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S10_Strv_103_0_Series.png		False	50	Strv 103-0	Sweden	308	350	53	19500	750	7.9	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1500	1450	680	20.435967302452315	4481	9	35	0.1	16	0.4	0.1	360	36700
0.36	2	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R95_Object_907.png	100	MT	2953.8461538461534	2953.8461538461534	3876.9230769230767	55	5	16	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R95_Object_907.png		True	45	Obj. 907	USSR	264	330	50	14400	610	6.5	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1535	900	900	17.086834733893557	15617	10	54	0.1	48	0.12	0.12	400	35700
0.33	2.3	560	560	700	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G44_JagdTiger.png	128	TD	2947.368421052631	2947.368421052631	3684.210526315789	38	7.5	15	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G44_JagdTiger.png		False	36	Jagdtiger	Germany	276	352	65	20160	830	11.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1200	1500	1200	11.037234042553191	7953	9	30	0.08	26	0.18	0.18	390	75200
0.35	1.8	410	410	510	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A183_XM69_Hacker.png	110	MT	2946.107784431138	2946.107784431138	3664.670658682635	48	9	20	2100	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A183_XM69_Hacker.png		False	50	Hacker	USA	273	335	55	20500	1050	8.35	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1500	1000	1000	21.12676056338028	35873	11	50	0.055	40	0.066	0.066	420	49700
0.36	2.3	420	420	530	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB134_Gryphon.png	119.38	HT	2930.232558139535	2930.232558139535	3697.6744186046512	43	10	20	2100	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB134_Gryphon.png	2.5	True	40	Gryphon	UK	263	319	60	16800	800	8.6	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1020	1270	1020	16.427104722792606	63057	10	32	0.1	32	0.16	0.16	400	48700
0.32	2.1	390	390	480	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB86_Centurion_Action_X.png	105	MT	2925	2925	3600	55	10	20	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB86_Centurion_Action_X.png		False	68	Centurion AX	UK	268	330	105	26520	1040	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	1173	19.012797074954296	7249	10	50	0.08	48	0.1	0.1	410	54700
0.41	2.9	390	390	530	13	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R89_SU122_44.png	122	TD	2925	2925	3975	47.5	4	16	840	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R89_SU122_44.png		True	35	SU-122-44	USSR	175	217	64	13650	500	8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	800	1000	800	15.372790161414297	55297	7	42	0.12	26	0.21	0.21	330	32525
0.27	2	390	390	480	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB114_Vickers_MBT_Mk3.png	105	MT	2925	2925	3600	55	10	20	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB114_Vickers_MBT_Mk3.png		True	50	Vickers 3	UK	268	330	105	19500	850	8	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1540	1240	1240	22.135416666666668	51025	10	50	0.08	48	0.1	0.1	410	38400
0.36	1.9	330	330	430	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB99_Turtle_Mk1.png	108	TD	2911.764705882353	2911.764705882353	3794.117647058824	25	10	20	1400	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB99_Turtle_Mk1.png		True	50	Turtle I	UK	240	270	54	16500	800	6.8	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1050	1200	1050	13.40033500837521	59985	8	23	0.1	20	0.18	0.18	370	59700
0.34	2	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R87_T62A.png	100	MT	2909.0909090909095	2909.0909090909095	3818.1818181818185	50	5	17	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R87_T62A.png		False	50	T-62A	USSR	264	330	50	16000	580	6.6	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1535	900	900	15.803814713896458	13825	10	56	0.08	48	0.1	0.1	400	36700
0.32	1.5	400	400	515	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB84_Chieftain_Mk6.png	119.38	HT	2909.090909090909	2909.090909090909	3745.4545454545455	42	10	20	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB84_Chieftain_Mk6.png		True	64	Chieftain	UK	270	310	140	25600	750	8.25	ARMOR_PIERCING_CR	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1372	1350	671	13.711151736745887	15185	10	40	0.1	30	0.12	0.12	390	54700
0.53	2.3	410	350		12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/france-F32_Somua_Sau_40.png	105	TD	2894.1176470588234	2470.5882352941176		37	10	30	430	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/france-F32_Somua_Sau_40.png		False	45	SAu 40	France	53	104		18450	350	8.5	HIGH_EXPLOSIVE	HOLLOW_CHARGE		670	536		14.245014245014245	9793	4	38	0.08	44	0.24	0.24	330	24570
0.33	2.2	390	390	480	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch25_121_mod_1971B.png	105	MT	2888.8888888888887	2888.8888888888887	3555.5555555555557	55	5	18	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch25_121_mod_1971B.png		True	50	121B	China	261	350	105	19500	700	8.1	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	732	17.632241813602015	63537	10	50	0.1	42	0.14	0.14	420	39700
0.33	2.2	390	390	480	25	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch25_121_mod_1971B_MK.png	105	MT	2888.8888888888887	2888.8888888888887	3555.5555555555557	55	5	18	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch25_121_mod_1971B_MK.png		True	50	Monkey King	China	261	350	105	19500	700	8.1	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	732	17.632241813602015	58673	10	50	0.1	42	0.14	0.14	420	39700
0.37	2.1	490	570	640	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R111_ISU130.png	130	TD	2854.3689320388344	3320.388349514563	3728.155339805825	38	8	14.3	1000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R111_ISU130.png		True	35	ISU-130	USSR	238	212	65	17150	600	10.3	ARMOR_PIERCING	ARMOR_PIERCING	HIGH_EXPLOSIVE	960	900	850	12.841091492776886	58625	8	28	0.06	26	0.12	0.12	380	46725
0.44	2.3	530	530	700	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/italy-It23_CC_3.png	130	TD	2839.285714285714	2839.285714285714	3749.9999999999995	30	10	20	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/italy-It23_CC_3.png	8	False	40	Minotauro	Italy	265	330	130	21200	780	24	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1303	1256	1256	13.637555730396013	5281	10	30	0.04	18	0.15	0.15	390	57195
0.34	1.6	440	440	550	23	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G185_Leopard_120_Verbessert.png	120	MT	2838.7096774193546	2838.7096774193546	3548.387096774193	65	9	20	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G185_Leopard_120_Verbessert.png		False	40	Leopard 120	Germany	284	335	100	17600	900	9.3	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1400	1000	1000	21.07728337236534	41489	11	48	0.105	40	0.21	0.21	410	42700
0.36	2.1	420	420	540	15	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/poland-Pl37_CS_67_Szakal.png	115	MT	2831.4606741573034	2831.4606741573034	3640.449438202247	55	8	20	2200	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/poland-Pl37_CS_67_Szakal.png		False	50	Szakal	Poland	275	335	58	21000	850	8.9	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1341	998	998	19.01565995525727	7825	11	46	0.067	48	0.12	0.12	400	44700
0.31	1.8	240	240	295	16	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/germany-G65_JagdTiger_SdKfz_185.png	88	TD	2823.5294117647063	2823.5294117647063	3470.588235294118	38	7	15	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/germany-G65_JagdTiger_SdKfz_185.png		True	68	JgTig.8,8 cm	Germany	212	237	44	16320	700	5.1	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1000	1250	1000	10.089072093626589	55313	8	32	0.08	26	0.17	0.17	390	69382
0.38	2.8	560	560	660	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch40_WZ120G_FT.png	130	TD	2823.529411764706	2823.529411764706	3327.731092436975	47	6	15	1700	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch40_WZ120G_FT.png		True	30	WZ-120G FT	China	271	340	65	16800	520	11.9	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	930	930	930	14.43842843259753	63025	9	38	0.16	26	0.22	0.22	390	36015
0.44	1.8	400	400	515	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A122_TS-5.png	120	TD	2823.529411764706	2823.529411764706	3635.2941176470586	26	5	20	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A122_TS-5.png		True	40	TS-5	USA	248	300	60	16000	750	8.5	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	860	1050	860	12.557555462536627	60449	8	24	0.06	22	0.16	0.16	370	59725
0.35	2.3	440	440	530	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/china-Ch19_121.png	122	MT	2808.5106382978724	2808.5106382978724	3382.978723404255	56	5	15	2050	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/china-Ch19_121.png		False	40	121	China	262	340	68	17600	650	9.4	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1115	907	907	16.795865633074936	4145	10	50	0.1	40	0.14	0.14	400	38700
0.35	2.2	440	440	530	24	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/sweden-S28_UDES_15_16.png	120	MT	2808.5106382978724	2808.5106382978724	3382.978723404255	50	6	20	1950	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/sweden-S28_UDES_15_16.png		False	40	UDES 15/16	Sweden	254	310	60	17600	610	9.4	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1000	840	680	19.242902208201894	5505	10	50	0.08	40	0.14	0.1	390	31700
0.35	1.8	390	390	480	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A120_M48A5.png	105	MT	2802.3952095808386	2802.3952095808386	3449.101796407186	48	9	19	2000	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A120_M48A5.png		False	57	M48 Patton	USA	268	330	53	22230	960	8.35	ARMOR_PIERCING_CR	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1478	1173	1173	20.245049452751008	14113	10	55	0.06	40	0.07	0.07	420	47419
0.3	1.7	280	280	370	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/uk-GB72_AT15.png	94	TD	2800	2800	3700	25	10	10	1500	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/uk-GB72_AT15.png		False	50	AT 15	UK	220	252	47	14000	720	6	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	878	1098	878	11.641820004527375	8529	8	28	0.1	26	0.18	0.18	370	61846
0.4	1.7	400	400	515	12	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/usa-A151_TS_60.png	120	TD	2790.6976744186045	2790.6976744186045	3593.0232558139533	35	7	20	1900	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/usa-A151_TS_60.png		True	40	TS-60	USA	258	320	60	16000	800	8.6	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1150	950	850	14.618547281863865	33569	9	28	0.06	18	0.25	0.25	380	54725
0.27	2	390	390	530	14	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/czech-Cz38_SZDV_vz50.png	122	TD	2785.7142857142853	2785.7142857142853	3785.7142857142853	42	8	20	1350	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/czech-Cz38_SZDV_vz50.png		True	45	SZDV Vz. 50	Czech	252	294	61	17550	940	8.4	ARMOR_PIERCING	ARMOR_PIERCING_CR	HIGH_EXPLOSIVE	1120	1270	1000	15.738802846379238	5233	8	35	0.08	30	0.15	0.15	370	59725
0.35	2.1	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R40_T-54.png	100	MT	2782.608695652174	2782.608695652174	3652.173913043478	56	6	20	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R40_T-54.png		False	50	T-54	USSR	236	330	50	16000	750	6.9	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1120	895	895	21.62629757785467	7937	9	56	0.12	44	0.11	0.11	390	34680
0.34	2	320	320	420	20	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/ussr-R104_Object_430_II.png	100	MT	2782.608695652174	2782.608695652174	3652.173913043478	55	4	16	1800	http://api.worldoftanks.asia/static/2.76.4/wot/encyclopedia/vehicle/contour/ussr-R104_Object_430_II.png		False	50	Obj. 430 II	USSR	246	330	50	16000	610	6.9	ARMOR_PIERCING	HOLLOW_CHARGE	HIGH_EXPLOSIVE	1015	900	1015	16.874135546334717	17665	9	52	0.12	40	0.12	0.12	400	36150
